pet_id,type,primary breed,secondary breed,mixed breed,size,gender,age,photo1,photo2,organization_id,phone,address1,address2,city,state,postcode,email,address,Lat,Lng
44322371,Dog,Pug,Beagle,True,Small,Male,Adult,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44322371/2/?bust=1553634048,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44322371/1/?bust=1553634045,IL82,(630) 407-2800,120 N. County Farm Road,,Wheaton,IL,60187,animalservices@dupageco.org,"120 N. County Farm Road,Wheaton,IL 60187",41.8645361,-88.1444338
44321160,Dog,Pug,Boxer,True,Small,Female,Baby,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44321160/1/?bust=1553630827,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44321160/2/?bust=1553630828,IL868,(309) 846-9534,360 Wylie Drive,,Normal,IL,61761,info@petcentralhelps.org,"360 Wylie Drive,Normal,IL 61761",40.496399700000005,-89.03394580000001
44319545,Dog,Pug,Chihuahua,True,Small,Male,Baby,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44319545/1/?bust=1553626107,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44319545/2/?bust=1553626107,CA09,,PO Box 2574,,Spring Valley,CA,91979,FCIAadoptions@aol.com,"PO Box 2574,Spring Valley,CA 91979",32.7316347,-116.9723156
44320365,Dog,Pug,,False,Small,Male,Young,,,CA2386,310-327-7871,,,Gardena,CA,90248,gwenn@pugnationla.org,",Gardena,CA 90248",33.865806400000004,-118.29358909999998
44320366,Dog,Pug,,False,Small,Male,Young,,,CA2386,310-327-7871,,,Gardena,CA,90248,gwenn@pugnationla.org,",Gardena,CA 90248",33.865806400000004,-118.29358909999998
44320367,Dog,Pug,,False,Small,Male,Adult,,,CA2386,310-327-7871,,,Gardena,CA,90248,gwenn@pugnationla.org,",Gardena,CA 90248",33.865806400000004,-118.29358909999998
44320368,Dog,Pug,,False,Small,Female,Adult,,,CA2386,310-327-7871,,,Gardena,CA,90248,gwenn@pugnationla.org,",Gardena,CA 90248",33.865806400000004,-118.29358909999998
44320369,Dog,Pug,,False,Small,Male,Adult,,,CA2386,310-327-7871,,,Gardena,CA,90248,gwenn@pugnationla.org,",Gardena,CA 90248",33.865806400000004,-118.29358909999998
44320370,Dog,Pug,,False,Small,Male,Adult,,,CA2386,310-327-7871,,,Gardena,CA,90248,gwenn@pugnationla.org,",Gardena,CA 90248",33.865806400000004,-118.29358909999998
44320279,Dog,Pug,Mixed Breed,True,Small,Male,Adult,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44320279/1/?bust=1553634563,,NV36,(775) 856-2000 ext. 302,2825 Longley Lane,Suite B,Reno,NV,89502,info@nevadahumanesociety.org,"2825 Longley Lane,Reno,NV 89502",39.4935972,-119.75717140000002
44320153,Dog,Pug,,True,Small,Male,Young,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44320153/1/?bust=1553624374,,NJ817,(973) 556-5885,1159 Greenwood Lake Tpk.,,Ringwood,NJ,07456,southernpawsrescue@gmail.com,"1159 Greenwood Lake Tpk.,Ringwood,NJ 07456",41.133405200000006,-74.2984835
44320168,Dog,Pug,Mixed Breed,True,Small,Male,Baby,,,OH316,(513) 735-2299,4193 Taylor Road,,Cincinnati,OH,45103,anne@lfaw.org,"4193 Taylor Road,Cincinnati,OH 45103",39.07586480000001,-84.2196388
44319514,Dog,Pug,,True,Small,Female,Adult,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44319514/1/?bust=1553632193,,CA1756,760-593-7768,P.O. Box 388,,San Luis Rey,CA,92068,info@spotsavespets.org,"P.O. Box 388,San Luis Rey,CA 92068",33.29,-117.31
44319447,Dog,Pug,Miniature Pinscher,True,Small,Male,Adult,,,PA105,215-538-2510 ,9 Beck Rd.,,Quakertown,PA,18951,pets@lastchanceranch.org,"9 Beck Rd.,Quakertown,PA 18951",40.4742604,-75.3007303
44318916,Dog,Pug,,True,Small,Male,Young,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44318916/1/?bust=1553614928,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44318916/2/?bust=1553614933,IN228,(765) 454-8796,,,Kokomo,IN,46903,palsforpawshc@aol.com,",Kokomo,IN 46903",40.52,-86.17999999999998
44318819,Dog,Pug,,True,Small,Male,Adult,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44318819/1/?bust=1553613201,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44318819/2/?bust=1553613212,NY323,(716) 326-7297,7540 N. Gale Street,,Westfield,NY,14787,adoptions@caninerescue.org,"7540 N. Gale Street,Westfield,NY 14787",42.325701200000005,-79.59021429999999
44318766,Dog,Pug,Chihuahua,True,Small,Male,Baby,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44318766/1/?bust=1553611781,,VA210,,,,Arlington,VA,22210,Caintracey@hotmail.com,",Arlington,VA 22210",38.8899073,-77.09993490000001
44318435,Dog,Pug,,True,Medium,Male,Adult,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44318435/1/?bust=1553603313,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44318435/2/?bust=1553603320,MT89,406-212-7544   ,41680 Flathead View Drive,,Polson,MT,59860,parkerandpets@yahoo.com,"41680 Flathead View Drive,Polson,MT 59860",47.7329885,-114.23627649999999
44317467,Dog,Pug,Chihuahua,True,Medium,Male,Adult,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44317467/1/?bust=1553611310,,TX180,325-653-8056,4001 Sunset Dr. Ste 1072,,San Angelo,TX,76905,adopt@conchovalleypaws.org,"4001 Sunset Dr. Ste 1072,San Angelo,TX 76905",31.427476199999997,-100.49827059999998
44316936,Dog,Pug,,False,Small,Male,Adult,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44316936/1/?bust=1553596246,,CA607,(562) 940-6898,11258 S. Garfield Avenue,,Downey,CA,90242,,"11258 S. Garfield Avenue,Downey,CA 90242",33.9250403,-118.16858429999999
44315589,Dog,Pug,Beagle,True,Medium,Female,Adult,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44315589/1/?bust=1553574162,,MO134,660-882-5050,P.O. Box 10186,,Columbia,MO,65205,info@columbia2ndchance.org,"P.O. Box 10186,Columbia,MO 65205",38.95170529999999,-92.33407240000001
44314604,Dog,Pug,Chihuahua,True,Small,Female,Baby,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44314604/1/?bust=1553550007,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44314604/2/?bust=1553550019,IL599,,,,Plainfield,IL,60544,starfishanimalrescuer@gmail.com,",Plainfield,IL 60544",41.6173377,-88.21690269999998
44314591,Dog,Pug,Chihuahua,True,Small,Female,Baby,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44314591/3/?bust=1553549794,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44314591/1/?bust=1553549764,IL599,,,,Plainfield,IL,60544,starfishanimalrescuer@gmail.com,",Plainfield,IL 60544",41.6173377,-88.21690269999998
44314428,Dog,Pug,Beagle,True,Medium,Female,Adult,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44314428/4/?bust=1553612867,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44314428/1/?bust=1553546863,NJ133,,,,Sparta,NJ,07871,OSCARRescue@yahoo.com,",Sparta,NJ 07871",41.0334562,-74.6363588
44313289,Dog,Pug,,True,Small,Male,Adult,,,VA199,(540) 635-4734,1245 Progress Drive,,Front Royal,VA,22630,info@humanesocietywarrencounty.org,"1245 Progress Drive,Front Royal,VA 22630",38.937185,-78.1564877
44311447,Dog,Pug,Chihuahua,True,Small,Male,Adult,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44311447/3/?bust=1553529493,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44311447/1/?bust=1553529410,FL1508,(330) 261-3934,7421 Haywood Taylor Blvd,,Sebring,FL,33876,highlandscountyhs@gmail.com,"7421 Haywood Taylor Blvd,Sebring,FL 33876",27.441340000000004,-81.36657699999998
44311431,Dog,Pug,,True,Medium,Male,Senior,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44311431/1/?bust=1553529466,,IN191,219-938-3339  ,6100 Melton Rd. - US 20,,Miller Beach,IN,46403,millercritters@yahoo.com,"6100 Melton Rd. - US 20,Miller Beach,IN 46403",41.597016700000005,-87.26330959999999
44311276,Dog,Pug,Beagle,True,Medium,Female,Senior,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44311276/1/?bust=1553526620,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44311276/2/?bust=1553527113,TX1331,,P.O. Box 170428,,Austin,TX,78717,info@pugrescueaustin.com,"P.O. Box 170428,Austin,TX 78717",30.491657699999998,-97.7742702
44311262,Dog,Pug,Italian Greyhound,True,Small,Male,Young,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44311262/1/?bust=1553526714,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44311262/2/?bust=1553526714,TX1331,,P.O. Box 170428,,Austin,TX,78717,info@pugrescueaustin.com,"P.O. Box 170428,Austin,TX 78717",30.491657699999998,-97.7742702
